ID,Name,Website,Logo,Short Description,Sector,R Strategy 1,R Strategy 2,Is Marketplace?,"Is rental, lend or swap?",Is Reverse Logistics?,Is Resale?,Is Asset Management/Tracking,Is 3rd Sector?,Active?,Dup check
,Zupply,https://zupply.site,Zupply.svg,Software automation platform for circularity in buildings. Our modular platform provides the data and automations for your business to become circular by launching tailor-made workflows within weeks.,Construction,R3 Reuse,,No,No,No,No,Yes,Yes,,FALSE
,The ZeroNet,https://www.thezeronet.com/,ZeroNet.png,The ZeroNet is the world's first cloud based technology platform designed explicitly around the logistical requirements of the Circular Economy.,,R3 Reuse,R8 Recycle,No,No,Yes,No,No,Yes,,FALSE
,World of Waste,https://www.worldofwaste.co/,WorldOfWaste.svg,Map displays countries with available texttile waste data.,Fashion & Textiles,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Winnow Solutions,https://www.winnowsolutions.com,Winnow.svg,"Winnow Solutions develops software for commercial kitchens to monitor and reduce food waste. Their platform uses AI technology to analyze food waste data and provide insights to chefs and kitchen staff, helping them minimize waste and cut costs.",Retail,R2 Reduce,R8 Recycle,No,No,No,No,No,Yes,,FALSE
,Whoppah,https://www.whoppah.com/,Whoppah.svg,Buy and sell on the marketplace for your dream interior,,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Whering,https://whering.co.uk/,Whering.svg,"An app to help people discover, rediscover or refine their personal style to avoid chasing trends; reducing consumption in the process. It harnesses the power of tech to help you discover your best-dressed self, without buying any new clothes.",Fashion & Textiles,R0 Refuse,,No,No,No,No,No,Yes,,FALSE
,Vestiaire Collective,https://www.vestiairecollective.com/,VestiaireCollective.svg,Secondhand luxury resale platform,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Vendoo,https://www.vendoo.co/uk,Vendoo.svg,"Software for online resellers. Vendoo provides powerful tools designed to streamline your listings, manage your inventory, and increase your sales.",,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Valyuu,https://valyuu.com/,Valyuu.svg,Bring a circular world to life Valyuu designs and delivers customer centric tailor-made full service recommerce services. Embedded recommerce. Full service Recommerce,,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,VALIS,https://www.valisinsights.com/,Valis.png,"Building AI-powered software that makes recycling more profitable, material supply chains more sustainable and closes the loop on a circular economy for metal fabrication. VALIS aims to reduce waste and promote a circular economy by fully integrating and optimizing scrap metal recycling across the value chain",,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Used and Loved,https://usedandloved.com/,UsedAndLoved.svg,Everything second hand in one place,Fashion & Textiles,R3 Reuse,R2 Reduce,No,No,No,Yes,No,Yes,,FALSE
,Unum Solum,https://unum-solum.com/,UnumSolum.png,"Unum Solum's approach combines physical and digital product ownership certification through digital product passports, ensuring every item not only has a distinct aesthetic but also contributes to a Circular Economy. 
They are the first phygital design agency to pioneer the application of NFTs for digital product passports, and offer a turnkey product customization through surface and visual patterns (2D/3D) and web3 to web2 digital product passport bridge. ",,R8 Recycle,R1 Rethink,No,No,No,No,Yes,Yes,,FALSE
,Untech,https://www.untech.com.au/,UNTech.png,"At UN Tech, we're an Australian-based company that refurbishes computers. We take pride in offering both retail and export services, serving customers locally and internationally. Our mission is to provide high-quality refurbished computers and related products that meet a variety of needs.

As a leading retailer, we make computer shopping easy for individuals and businesses. Our wide selection includes refurbished computers, laptops, peripherals, and accessories from popular brands. We strive to make technology accessible and affordable for everyone by offering competitive prices and personalized customer service.

",IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
